location_id,area_group,psa_region,province,map_label,lat,lon,coconut_mature_2025_mt,coconut_mature_2025_share_pct,coconut_husk_2025_mt,coconut_husk_2025_share_pct,production_share_basis,coconut_weight,selected_for_monitor,coord_source,source
CEBU,Visayas,REGION VII (CENTRAL VISAYAS),Cebu,Cebu（0.62%）,10.3,123.9,54984.65,0.390619979076489,89261.080000,0.615313,"Coconut (w/ husk), PSA 2025",0.006153132807,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
ILOILO,Visayas,REGION VI (WESTERN VISAYAS),Iloilo,Iloilo（0.59%）,11.0,122.7,78771.45,0.5596053107699094,86149.430000,0.593863,"Coconut (w/ husk), PSA 2025",0.005938633994,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
ORIENTAL_MINDORO,Luzon,MIMAROPA REGION,Oriental Mindoro,Oriental Mindoro（0.56%）,13.0,121.25,80077.02,0.5688802943531984,81710.270000,0.563262,"Coconut (w/ husk), PSA 2025",0.005632624465,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SORSOGON,Luzon,REGION V (BICOL REGION),Sorsogon,Sorsogon（0.56%）,12.98,124.0,80321.35,0.57061605477884,80737.780000,0.556559,"Coconut (w/ husk), PSA 2025",0.005565586736,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SOUTHERN_LEYTE,Visayas,REGION VIII (EASTERN VISAYAS),Southern Leyte,Southern Leyte（0.54%）,10.3,125.0,77931.35,0.5536371024713723,78211.460000,0.539144,"Coconut (w/ husk), PSA 2025",0.005391437123,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
BATANGAS,Luzon,REGION IV-A (CALABARZON),Batangas,Batangas（0.52%）,13.95,121.06,57973.81,0.411855462373305,75789.820000,0.522450,"Coconut (w/ husk), PSA 2025",0.005224503533,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
MARINDUQUE,Luzon,MIMAROPA REGION,Marinduque,Marinduque（0.38%）,13.42,121.96,54577.49,0.3877274476030544,54656.500000,0.376770,"Coconut (w/ husk), PSA 2025",0.003767696999,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
AKLAN,Visayas,REGION VI (WESTERN VISAYAS),Aklan,Aklan（0.37%）,11.7,122.37,48244.92,0.3427398308609199,54175.550000,0.373454,"Coconut (w/ husk), PSA 2025",0.003734543141,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
AGUSAN_DEL_SUR,Mindanao,REGION XIII (CARAGA),Agusan del Sur,Agusan del Sur（0.35%）,8.4,125.75,49762.24,0.353519121201994,50219.240000,0.346182,"Coconut (w/ husk), PSA 2025",0.003461818445,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
BILIRAN,Visayas,REGION VIII (EASTERN VISAYAS),Biliran,Biliran（0.32%）,11.57,124.47,46354.77,0.3293118950015223,46956.400000,0.323690,"Coconut (w/ husk), PSA 2025",0.003236897485,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
